Specification Number,Title,Responsible Group
21.801,Specification drafting rules,SP
21.802,Study on Modernization of Specification Format and Procedures for 6G,SP
21.810,Report on multi-mode UE issues; ongoing work and identified additional work,T2
21.866,Study on Energy Efficiency Aspects of 3GPP Standards,SP
21.877,Radio optimization impacts on the Packet Switched (PS) domain architecture,S2
21.900,Technical Specification Group working methods,SP
21.902,Evolution of 3GPP system,SP
21.904,User Equipment (UE) capability requirements,C1
21.905,Vocabulary for 3GPP Specifications,SP
21.910,"Multi-mode UE issues; categories, principles and procedures",C1
21.914,Release 14 Description; Summary of Rel-14 Work Items,SP
21.915,Release 15 Description; Summary of Rel-15 Work Items,SP
21.916,Release 16 Description; Summary of Rel-16 Work Items,SP
21.917,Release 17 Description; Summary of Rel-17 Work Items,SP
21.918,Release 18 Description; Summary of Rel-18 Work Items,SP
21.978,Feasibility Technical Report; CAMEL Control of VoIP Services,C4
22.001,Principles of circuit telecommunication services supported by a Public Land Mobile Network (PLMN),S1
22.002,Circuit Bearer Services (BS) supported by a Public Land Mobile Network (PLMN),S1
22.003,Circuit Teleservices supported by a Public Land Mobile Network (PLMN),S1
22.004,General on supplementary services,S1
22.011,Service accessibility,S1
22.016,International Mobile station Equipment Identities (IMEI),S1
22.01U,Universal Mobile Telecommunications System (UMTS): Service aspects; Service principles,S1
22.022,Personalisation of Mobile Equipment (ME); Mobile functionality specification,S1
22.024,Description of Charge Advice Information (CAI),S1
22.030,Man-Machine Interface (MMI) of the User Equipment (UE),S1
22.031,3G Security; Fraud Information Gathering System (FIGS); Service description; Stage 1,S3
22.032,Immediate Service Termination (IST); Service description; Stage 1,S3
22.034,High Speed Circuit Switched Data (HSCSD); Stage 1,S1
22.038,(U)SIM Application Toolkit (USAT); Service description; Stage 1,S1
22.041,Operator Determined Barring (ODB),S1
22.042,Network Identity and TimeZone (NITZ); Service description; Stage 1,S1
22.043,Support of Localized Service Area (SoLSA); Service description; Stage 1,S1
22.048,Security mechanisms for the (U)SIM application toolkit; Stage 1,C6
22.053,Tandem Free Operation (TFO); Service description; Stage 1,S4
22.057,Mobile Execution Environment (MExE); Service description; Stage 1,S1
22.060,General Packet Radio Service (GPRS); Service description; Stage 1,S1
22.066,Support of Mobile Number Portability (MNP); Service description; Stage 1,S1
22.067,enhanced Multi Level Precedence and Pre-emption service (eMLPP); Stage 1,S1
22.071,Location Services (LCS); Service description; Stage 1,S1
22.072,Call Deflection (CD) service description; Stage 1,S1
22.076,Noise suppression for the AMR codec; Service description; Stage 1,S4
22.078,Customised Applications for Mobile network Enhanced Logic (CAMEL); Service description; Stage 1,S1
22.079,Support of Optimal Routeing (SOR); Service definition; Stage 1,S1
22.081,Line Identification supplementary services; Stage 1,S1
22.082,Call Forwarding (CF) Supplementary Services; Stage 1,S1
22.083,Call Waiting (CW) and Call Holding (HOLD); Supplementary Services; Stage 1,S1
22.084,MultiParty (MPTY) supplementary service; Stage 1,S1
22.085,Closed User Group (CUG) supplementary services; Stage 1,S1
22.086,Advice of Charge (AoC) supplementary services; Stage 1,S1
22.087,User-to-User Signalling (UUS); Service description; Stage 1,S1
22.088,Call Barring (CB) supplementary services; Stage 1,S1
22.090,Unstructured Supplementary Service Data (USSD); Stage 1,S1
22.091,Explicit Call Transfer (ECT) supplementary service; Stage 1,S1
22.093,"Completion of Calls to Busy Subscriber (CCBS); Service description, Stage 1",S1
22.094,Follow Me service description; Stage 1,S1
22.096,Name identification supplementary services; Stage 1,S1
22.097,Multiple Subscriber Profile (MSP) Phase 2; Service description; Stage 1,S1
22.100,UMTS Phase 1,S1
22.101,Service aspects; Service principles,S1
22.104,Service requirements for cyber-physical control applications in vertical domains,S1
22.105,Services and service capabilities,S1
22.112,USIM Application Toolkit (USAT) Interpreter; Stage 1,C6
22.115,Service aspects; Charging and billing,S1
22.119,Maritime communication services over 3GPP system,S1
22.121,Service aspects; The Virtual Home Environment (VHE); Stage 1,S1
22.125,Unmanned Aerial System (UAS) support in 3GPP,S1
22.127,Service requirement for the Open Services Access (OSA); Stage 1,S1
22.129,Service aspects; Handover requirements between UTRAN and GERAN or other radio systems,S1
22.135,Multicall; Service description; Stage 1,S1
22.137,Integrated Sensing and Communication,S1
22.140,Multimedia Messaging Service (MMS);  Stage 1,S1
22.141,Presence service; Stage 1,S1
22.142,Value Added Services (VAS)  for Short Message Service (SMS) requirements,S1
22.146,Multimedia Broadcast/Multicast Service (MBMS); Stage 1,S1
22.153,Multimedia priority service,S1
22.156,Mobile Metaverse Services,S1
22.167,(reserved for: Internet Protocol (IP) based IP Multimedia Subsystem (IMS) emergency sessions; Stage 1),S1
22.168,Earthquake and Tsunami Warning System (ETWS) requirements; Stage 1,S1
22.173,IP Multimedia Core Network Subsystem (IMS) Multimedia Telephony Service and supplementary services; Stage 1,S1
22.174,Push Service; Service aspects; Stage 1,S1
22.177,Speech-enabled services; Stage 1,S1
22.179,Mission Critical Push to Talk (MCPTT); Stage 1,S1
22.182,Customized Alerting Tones (CAT) requirements; Stage 1,S1
22.183,Customized Ringing Signal (CRS) requirements; Stage 1,S1
22.185,Service requirements for V2X services,S1
22.186,Service requirements for enhanced V2X scenarios,S1
22.220,Service requirements for Home Node B (HNB) and Home eNode B (HeNB),S1
22.226,Global Text Telephony (GTT); Stage 1,S1
22.227,Service requirements for the Open Service Access (OSA),S1
22.228,Service requirements for the Internet Protocol (IP) multimedia core network subsystem (IMS); Stage 1,S1
22.233,Transparent end-to-end packet-switched streaming service; Stage 1,S1
22.234,Requirements on 3GPP system to Wireless Local Area Network (WLAN) interworking,S1
22.240,Service requirements for 3GPP Generic User Profile (GUP); Stage 1,S1
22.242,Digital Rights Management (DRM); Stage 1,S1
22.243,Speech recognition framework for automated voice services; Stage 1,S1
22.246,Multimedia Broadcast/Multicast Service (MBMS) user services; Stage 1,S1
22.250,IP Multimedia Subsystem (IMS) Group Management; Stage 1,S1
22.258,Service requirements for an All-IP Network (AIPN); Stage 1,S1
22.259,Service requirements for Personal Network Management (PNM); Stage 1,S1
22.261,Service requirements for the 5G system,S1
22.262,Message service within the 5G System (5GS); Stage 1,S1
22.263,"Service requirements for Video, Imaging and Audio for Professional Applications (VIAPA)",S1
22.268,Public Warning System (PWS) requirements,S1
22.273,TISPAN; Multimedia Telephony with PSTN/ISDN simulation services,S1
22.278,Service requirements for the Evolved Packet System (EPS),S1
22.279,Combined Circuit Switched (CS) and IP Multimedia Subsystem (IMS) sessions; Stage 1,S1
22.280,Mission Critical Services Common Requirements (MCCoRe); Stage 1,S1
22.281,Mission Critical (MC) video,S1
22.282,Mission Critical (MC) data,S1
22.289,Mobile communication system for railways,S1
22.340,IP Multimedia Subsystem (IMS) messaging; Stage 1,S1
22.346,Isolated Evolved Universal Terrestrial Radio Access Network (E-UTRAN) operation for public safety; Stage 1,S1
22.368,Service requirements for Machine-Type Communications (MTC); Stage 1,S1
22.369,Service requirements for Ambient power-enabled IoT,S1
22.401,TISPAN; Videotelephony over NGN Service Description,S1
22.468,Group Communication System Enablers (GCSE),S1
22.495,TISPAN;Services and Capabilities Requirements,S1
22.519,Business communication requirements,S1
22.800,IP Multimedia Subsystem (IMS) subscription and access scenarios,S1
22.801,Study on non-MTC mobile data applications impacts,S1
22.802,Study on scenarios where multiple APNs are needed,S1
22.803,Feasibility study for Proximity Services (ProSe),S1
22.804,Study on Communication for Automation in Vertical domains (CAV),S1
22.805,Feasibility study on user plane congestion management,S1
22.806,Study on application-specific congestion control for data communication,S1
22.807,Study on enhancements for infrastructure-based data communication between devices,S1
22.808,Study on Flexible Mobile Service Steering (FMSS),S1
22.809,Feasibility study on support for 3GPP voice interworking with enterprise IP-PBX (VINE),S1
22.810,Study of enhanced call information presentation,S1
22.811,Review of network selection principles,S1
22.812,Study into network selection requirements for non-3GPP access,S1
22.813,Study of use cases and requirements for enhanced voice codecs for the Evolved Packet System (EPS),S1
22.814,Location Services (LCS) support in Evolved Packet Core (EPC) for non-3GPP accesses,S1
22.815,Study on Multimedia Broadcast Supplement for Public Warning System (MBSP),S1
22.816,3GPP enhancement for TV service,S1
22.817,Study on UICC/USIM enhancements,S1
22.818,Feasibility Study on Control of Applications when Third party Servers encounter difficulties,S1
22.819,Feasibility Study on Maritime Communication Services over 3GPP system,S1
22.820,Study on Provision of Local Operator Services,S1
22.821,Feasibility Study on LAN Support in 5G ,S1
22.822,Study on using satellite access in 5G,S1
22.823,Study on enhancements to IMS for new real time communication services ,S1
22.824,Study on 5G message service for MIoT,S1
22.825,Study on Remote Identification of Unmanned Aerial Systems (UAS),S1
22.826,Study on communication services for critical medical applications,S1
22.827,Study on Audio-Visual Service Production,S1
22.828,Study on co-ordinated Packet data network GateWay (PGW) Change for Selected IP Traffic Offload (CSIPTO),S1
22.829,Enhancement for Unmaned Aerial Vehicles (UAVs),S1
22.830,Study on business role models for network slicing ,S1
22.831,Study on Support for Minimization of service Interruption,S1
22.832,Study on enhancements for cyber-physical control applications in vertical domains,S1
22.833,Study on Enhancement of LTE for Efficient delivery of Streaming Service,S1
22.834,Study on support for devices with multiple Universal Subscriber Identity Modules (USIMs),S1
22.835,Study on enhanced access to and support of network slices,S1
22.836,Study on asset tracking use cases,S1
22.837,Study on Integrated Sensing and Communication,S1
22.838,Paging policy enhancements and procedure optimizations in LTE,S1
22.839,Study on vehicle-mounted relays,S1
22.840,Study on Ambient power-enabled Internet of Things,S1
22.841,"Study on Upper layer traffic steering, switching and split over dual 3GPP access",S1
22.842,Study on Network Controlled Interactive Service (NCIS) in the 5G System (5GS),S1
22.843,Study on on Additional capabilities of mobile networks for drone operations and managements,S1
22.844,Study on 5G Networks Providing Access to Localized Services,S1
22.847,Study on supporting tactile and multi-modality communication services ,S1
22.848,Feasibility Study on Interconnect of SNPN ,S1
22.850,Study on 3GPP AI/ML Consistency Alignment,SP
22.851,Study on Network Sharing Aspects,S1
22.852,Study on Radio Access Network (RAN) sharing enhancements,S1
22.853,Study on Service Exposure and Enablement Support (SEES) requirements,S1
22.854,Feasibility Study on Multimedia Priority Service (MPS) Phase 2,S1
22.855,Study on ranging-based services,S1
22.856,Study on Localized Mobile Metaverse Services,S1
22.857,Run-time independent framework feasibility study,S2
22.858,Study on enhancements for residential 5G,S1
22.859,Study on Personal Internet of Things (PIoT) networks,S1
22.861,Massive Internet of Things,S1
22.862,Feasibility study on new services and markets technology enablers for critical communications; Stage 1,S1
22.863,Feasibility study on new services and markets technology enablers for enhanced mobile broadband; Stage 1,S1
22.864,Feasibility study on new services and markets technology enablers for network operation; Stage 1,S1
22.865,Study on satellite access - Phase 3,S1
22.866,Enhanced relays for energy efficiency and extensive coverage,S1
22.867,Study on 5G smart energy and infrastructure,S1
22.868,Study on facilitating machine to machine communication in 3GPP systems,S1
22.869,Feasibility study on enhancements of Public Warning System (PWS),S1
22.870,Study on 6G Use Cases and Service Requirements ,S1
22.871,Study on non-voice emergency services,S1
22.872,Study on positioning use cases,S1
22.873,Study on evolution of the IP Multimedia Subsystem (IMS) multimedia telephony service,S1
22.874,5G System (5GS); Study on traffic characteristics and performance requirements for AI/ML model transfer,S1
22.875,Study on AI/ML Model Transfer Phase 2,S1
22.876,Study on AI/ML Model Transfer Phase2,S1
22.877,Study on roaming value added services,S1
22.878,Study on 5G timing resiliency system,S1
22.879,Feasibility study on Mission Critical (MC) video services over LTE,S1
22.880,Feasibility study on Mission Critical (MC) data communications,S1
22.881,Study on sharing administrative configuration information between interconnected Mission Critical (MCX) service systems,S1
22.882,Study on Energy Efficiency as service criteria,S1
