Specification Number,Title,Responsible Group
10.14,System overview for 14.4 kbit/s Work Item,S2
10.20,Lawful Interception requirements for GSM,S3
10.43,Support of Localised Service Area (SoLSA); Work Item Status,S1
10.56,"Project scheduling and open issues: GSM Cordless Telephony System CTS, Phase 1",S2
10.57,Project scheduling and open issues: Mobile Station Execution Environment (MExE),T2
10.59,Project scheduling and open issues for EDGE,R6
10.60,General Packet Radio Services (GPRS); Project Scheduling and Open Issues,S2
10.66,Support of Mobile Number Portability (MNP); Project plan,S1
10.68,"Introduction to the services: enhanced Multi-Level Precedence and Pre-emption (eMLPP), Voice Group Call Service (VGCS), Voice Broadcast Service (VBS)",S2
10.70,GSM Adaptive Multi-Rate Speech Codec (AMR); Project schedule and open issues for AMR,S4
10.71,Project scheduling and open issues:Location services (LCS),S1
10.76,Noise suppression for the AMR codec; Project scheduling and open issues,S4
10.78,Project scheduling and open issues: CAMEL,S2
10.87,User to User Signalling (UUS),S2
10.89,GSM to other Systems Handover and Cell Selection/Reselection; Project scheduling and open issues;,GP
10.94,Follow Me supplementary service,SP
11.10,Mobile Station Conformity Specification,R5
11.10-1,Mobile station (MS) conformance specification; Part 1: Conformance specification,R5
11.10-2,Mobile station (MS) conformance specification; Part 2: Protocol Implementation Conformance Statement (PICS) proforma specification,R5
11.10-3,Mobile Station (MS) conformance specification; Part 3: Layer3 (L3) Abstract Test Suite (ATS),R5
11.10-4,Mobile Station (MS) conformance specification; Part 4: Subscriber Identity Module (SIM) application toolkit conformance test specification,C6
11.10-5,Mobile Station (MS) conformance specification; Part 5: GERAN / UTRAN interaction Abstract Test Suite (ATS),G3new
11.10dcs,Mobile Station Conformity Specification (DCS 1800),R5
11.11,Specification of the Subscriber Identity Module - Mobile Equipment (SIM-ME) Interface,C6
11.11dcs,Specification of the Subscriber Identity Module - Mobile Equipment (SIM-ME) Interface (DCS 1800),C6
11.12,Specification on the 3 volt subscriber identity module Equipment (SIM-ME)  Interface,C6
11.13,Test specification for Subscriber Interface Module (SIM) Application Programme Interface (API) for Java card,C6
11.14,Specification of the SIM Application Toolkit (SAT) for the Subscriber Identity Module - Mobile Equipment (SIM-ME) interface,C6
11.17,Subscriber Identity Module (SIM) test specification,C6
11.18,Specification of the 1.8 Volt Subscriber Identity Module - Mobile Equipment (SIM - ME) Interface,C6
11.19,CTS SIM Fixed Part,C6
11.20,GSM DCS 1800 Base Station Specification,R6
11.20dcs,GSM DCS 1800 Base Station Specification,R6
11.21,Base Station System (BSS) equipment specification; Radio aspects,R6
11.22,"GSM Base Station and Ancillary Equipment, Physical and Electronical Parameters, Application of Standards and Guidance Notes",R6
11.23,GSM Signalling Aspects Base Station System equipment Specification,R6
11.24,GSM Transcoding and Rate Adaptation: Base Station System Equipment Specification,R6
11.25,The GSM Base Station System (BSS) Equipment specification Half-rate speech,G1
11.26,Base Station System (BSS) equipment specification; Part 4: Repeaters,R6
11.30,Mobile Services Switching Centre,R6
11.31,Home Location Register Specification,R6
11.32,Visitor Location Register Specification,R6
11.40,GSM System Simulator specification,R5
11.40dcs,DCS 1800 System Simulator conformity specification,R5
11.50,System Description,SMG1
12.00,Objectives and Structure of GSM Public Land Mobile Network (PLMN) Management,S5
12.01,Network Management (NM); Part 2: Common aspects of SM/DCS 1800 Network Management,S5
12.01U,Framework for satellite integration with the UMTS,SMG5
12.02,"Subscriber, Mobile Equipment (ME) and Services Data Administration",S5
12.02U,"Technical characteristics, capabilities and limitations of mobile sate llite systems applicable to the UMTS",SMG5
12.03,Security Management,S5
12.04,Performance data measurements,S5
12.05,Subscriber Related Call and Event Data,S5
12.06,Network Configuration Management and Administration,S5
12.08,Subscriber and Equipment trace,S5
12.10,Maintenance Provisions for Operational Integrity of MSs,S5
12.11,Fault management of the Base Station System (BSS),S5
12.12,Maintenance of Circuits betweenMobile System Entities,SMG
12.13,Maintenance of the Mobile-services Switching Centre,S5
12.14,Maintenance of Location Registers,S5
12.15,General Packet Radio Service (GPRS); GPRS Charging,S5
12.20,Base Station System (BSS) Management Information,S5
12.21,Network Management (NM) procedures and messages on the A-bis interface,R6
12.22,Interworking of GSM Network Management (NM) Procedures and Messages at the Base Station Controller (BSC),R6
12.30,ETSI Object Identifier Tree; Mobile Domain O&M,S5
12.71,Location Services (LCS); Location services management,S5
21.010,reserved,SP
21.01U,Requirements for the UMTS Terrestrial Radio Access (UTRA) system,R6
21.02U,High level requirements relevant for the definition of the UMTS Terrestrial Radio Access UTRA concept,GP
21.101,Technical Specifications and Technical Reports for a UTRAN-based 3GPP system,SP
21.102,3rd Generation mobile system Release 4 specifications,SP
21.103,3rd Generation mobile system Release 5 specifications,SP
21.104,Technical Specifications and Technical Reports for a UTRAN-based 3GPP system (Rel-6),SP
21.111,USIM and IC card requirements,C6
21.133,3G security; Security threats and requirements,S3
21.201,Technical Specifications and Technical Reports for an Evolved Packet System (EPS) based 3GPP system,SP
21.202,Technical Specifications and Technical Reports relating to the Common IP Multimedia Subsystem (IMS),SP
21.205,Technical Specifications and Technical Reports for a 5G based 3GPP system,SP
